"team_points","num_wins","goal_diff","goals_for","team","group","ovr_elo","off_elo","def_elo","first_place","second_place","third_place","fourth_place","make_r32","make_r16","make_qf","make_semis","make_final","win_3rd_place","win_final"
4,1,-1,2,"South Africa","A",1778.41291107541,1560.80013963252,1717.61277144289,0,1,0,0,1,0,0,0,0,0,0
3,1,-1,2,"South Korea","A",1902.62247550128,1660.56423276855,1742.05824273273,0,0,1,0,0,0,0,0,0,0,0
1,0,-4,2,"Czech Republic","A",1815.89672605019,1664.82154807145,1651.07517797874,0,0,0,1,0,0,0,0,0,0,0
9,3,6,6,"Mexico","A",2117.33686898043,1717.68397850986,1899.65289047057,1,0,0,0,1,0.645133333333333,0.390333333333333,0.157466666666667,0.0598666666666667,0.0459333333333333,0.0249333333333333
1,0,-8,2,"Qatar","B",1529.52454508188,1542.7675416184,1486.75700346348,0,0,0,1,0,0,0,0,0,0,0
4,1,-1,5,"Bosnia and Herzegovina","B",1800.51125581274,1649.57518468623,1650.93607112651,0,0,1,0,1,0.240133333333333,0.05,0.0086,0.00193333333333333,0.0014,0.000266666666666667
7,2,4,7,"Switzerland","B",2121.89598693672,1831.85153800141,1790.04444893531,1,0,0,0,1,0.644666666666667,0.310066666666667,0.1198,0.0510666666666667,0.0348666666666667,0.0254666666666667
4,1,5,8,"Canada","B",1992.76487817716,1692.34803449949,1800.41684367767,0,1,0,0,1,1,0.3958,0.1208,0.0424666666666667,0.0254,0.0119333333333333
7,2,3,6,"Morocco","C",2103.53652388092,1734.85908075935,1868.67744312156,0,1,0,0,1,1,0.6042,0.237466666666667,0.105066666666667,0.0574,0.0367333333333333
3,1,-3,1,"Scotland","C",1907.85647573403,1667.72629190942,1740.13018382461,0,0,1,0,0,0,0,0,0,0,0
7,2,6,7,"Brazil","C",2285.25817714395,1900.46335875569,1884.79481838826,1,0,0,0,1,1,0.719533333333333,0.468466666666667,0.251066666666667,0.1312,0.1402
0,0,-6,2,"Haiti","C",1776.80346332916,1667.31684435826,1609.4866189709,0,0,0,1,0,0,0,0,0,0,0
6,2,4,8,"United States","D",1991.53293508854,1808.02174458363,1683.51119050491,1,0,0,0,1,0.759866666666667,0.366533333333333,0.148266666666667,0.0624666666666667,0.0348,0.0222
3,1,-2,3,"Turkey","D",2022.96144160521,1769.33588559838,1753.62555600683,0,0,0,1,0,0,0,0,0,0,0
4,1,0,2,"Australia","D",2003.30338403543,1656.23568830566,1847.06769572977,0,1,0,0,1,0.525133333333333,0.120933333333333,0.0446666666666667,0.0152666666666667,0.011,0.00586666666666667
