"name","home_team_name","away_team_name","home_team_id","away_team_id","id","uid","date","tz","home_pG","away_pG","home_chance","away_chance","draw_chance","home_score","away_score","home_win","away_win"
"South Korea at Mexico","Mexico","South Korea",203,451,760441,"s:600~l:606~e:760441~c:760441","2026-06-19 01:00:00","UTC",1.6738,0.700066666666667,0.6038,0.158266666666667,0.237933333333333,1,0,TRUE,FALSE
"Australia at United States","United States","Australia",660,628,760442,"s:600~l:606~e:760442~c:760442","2026-06-19 19:00:00","UTC",1.55746666666667,1.33586666666667,0.432666666666667,0.3274,0.239933333333333,2,0,TRUE,FALSE
"Morocco at Scotland","Scotland","Morocco",580,2869,760445,"s:600~l:606~e:760445~c:760445","2026-06-19 22:00:00","UTC",0.877733333333333,1.25086666666667,0.261666666666667,0.448333333333333,0.29,0,1,FALSE,TRUE
"Haiti at Brazil","Brazil","Haiti",205,2654,760444,"s:600~l:606~e:760444~c:760444","2026-06-20 00:30:00","UTC",2.22273333333333,0.714266666666667,0.717733333333333,0.105666666666667,0.1766,3,0,TRUE,FALSE
"Paraguay at Türkiye","Türkiye","Paraguay",465,210,760443,"s:600~l:606~e:760443~c:760443","2026-06-20 03:00:00","UTC",1.47613333333333,1.29193333333333,0.416333333333333,0.3314,0.252266666666667,0,1,FALSE,TRUE
"Sweden at Netherlands","Netherlands","Sweden",449,466,760447,"s:600~l:606~e:760447~c:760447","2026-06-20 17:00:00","UTC",2.38533333333333,1.65173333333333,0.544866666666667,0.2632,0.191933333333333,5,1,TRUE,FALSE
"Ivory Coast at Germany","Germany","Ivory Coast",481,4789,760448,"s:600~l:606~e:760448~c:760448","2026-06-20 20:00:00","UTC",2.1172,1.14666666666667,0.598066666666667,0.196066666666667,0.205866666666667,2,1,TRUE,FALSE
"Curaçao at Ecuador","Ecuador","Curaçao",209,11678,760446,"s:600~l:606~e:760446~c:760446","2026-06-21 00:00:00","UTC",2.07293333333333,0.3494,0.7834,0.0518,0.1648,0,0,FALSE,FALSE
"Japan at Tunisia","Tunisia","Japan",659,627,760449,"s:600~l:606~e:760449~c:760449","2026-06-21 04:00:00","UTC",0.659066666666667,2.18,0.0992,0.722066666666667,0.178733333333333,0,4,FALSE,TRUE
"Saudi Arabia at Spain","Spain","Saudi Arabia",164,655,760453,"s:600~l:606~e:760453~c:760453","2026-06-21 16:00:00","UTC",2.14666666666667,0.497666666666667,0.755133333333333,0.0753333333333333,0.169533333333333,4,0,TRUE,FALSE
"Iran at Belgium","Belgium","Iran",459,469,760451,"s:600~l:606~e:760451~c:760451","2026-06-21 19:00:00","UTC",1.97753333333333,1.1796,0.558466666666667,0.2246,0.216933333333333,0,0,FALSE,FALSE
"Cape Verde at Uruguay","Uruguay","Cape Verde",212,2597,760450,"s:600~l:606~e:760450~c:760450","2026-06-21 22:00:00","UTC",1.30386666666667,0.388133333333333,0.600266666666667,0.107933333333333,0.2918,2,2,FALSE,FALSE
"Egypt at New Zealand","New Zealand","Egypt",2666,2620,760452,"s:600~l:606~e:760452~c:760452","2026-06-22 01:00:00","UTC",0.983866666666667,1.24566666666667,0.291533333333333,0.421333333333333,0.287133333333333,1,3,FALSE,TRUE
"Austria at Argentina","Argentina","Austria",202,474,760456,"s:600~l:606~e:760456~c:760456","2026-06-22 17:00:00","UTC",1.92606666666667,0.704266666666667,0.664733333333333,0.1278,0.207466666666667,2,0,TRUE,FALSE
"Iraq at France","France","Iraq",478,4375,760457,"s:600~l:606~e:760457~c:760457","2026-06-22 21:00:00","UTC",2.49226666666667,0.489666666666667,0.810066666666667,0.0560666666666667,0.133866666666667,3,0,TRUE,FALSE
"Senegal at Norway","Norway","Senegal",464,654,760454,"s:600~l:606~e:760454~c:760454","2026-06-23 00:00:00","UTC",1.92026666666667,1.3852,0.500533333333333,0.280866666666667,0.2186,3,2,TRUE,FALSE
"Algeria at Jordan","Jordan","Algeria",2917,624,760455,"s:600~l:606~e:760455~c:760455","2026-06-23 03:00:00","UTC",1.3498,1.90953333333333,0.2722,0.5058,0.222,1,2,FALSE,TRUE
"Uzbekistan at Portugal","Portugal","Uzbekistan",482,2570,760461,"s:600~l:606~e:760461~c:760461","2026-06-23 17:00:00","UTC",1.9702,0.795466666666667,0.6476,0.1448,0.2076,5,0,TRUE,FALSE
"Ghana at England","England","Ghana",448,4469,760458,"s:600~l:606~e:760458~c:760458","2026-06-23 20:00:00","UTC",2.21606666666667,0.505133333333333,0.7664,0.0708666666666667,0.162733333333333,0,0,FALSE,FALSE
"Croatia at Panama","Panama","Croatia",2659,477,760460,"s:600~l:606~e:760460~c:760460","2026-06-23 23:00:00","UTC",1.18686666666667,2.08466666666667,0.211866666666667,0.5802,0.207933333333333,0,1,FALSE,TRUE
"Congo DR at Colombia","Colombia","Congo DR",208,2850,760459,"s:600~l:606~e:760459~c:760459","2026-06-24 02:00:00","UTC",1.8564,0.538133333333333,0.691133333333333,0.0984,0.210466666666667,1,0,TRUE,FALSE
"Canada at Switzerland","Switzerland","Canada",475,206,760463,"s:600~l:606~e:760463~c:760463","2026-06-24 19:00:00","UTC",1.25673333333333,1.55253333333333,0.309466666666667,0.440666666666667,0.249866666666667,2,1,TRUE,FALSE
"Qatar at Bosnia-Herzegovina","Bosnia-Herzegovina","Qatar",452,4398,760462,"s:600~l:606~e:760462~c:760462","2026-06-24 19:00:00","UTC",2.01353333333333,1.066,0.592666666666667,0.1946,0.212733333333333,3,1,TRUE,FALSE
"Haiti at Morocco","Morocco","Haiti",2869,2654,760464,"s:600~l:606~e:760464~c:760464","2026-06-24 22:00:00","UTC",1.6262,0.5362,0.644666666666667,0.121866666666667,0.233466666666667,4,2,TRUE,FALSE
"Brazil at Scotland","Scotland","Brazil",580,205,760465,"s:600~l:606~e:760465~c:760465","2026-06-24 22:00:00","UTC",0.815133333333333,1.93093333333333,0.1472,0.636066666666667,0.216733333333333,0,3,FALSE,TRUE
"Mexico at Czechia","Czechia","Mexico",450,203,760467,"s:600~l:606~e:760467~c:760467","2026-06-25 01:00:00","UTC",0.523133333333333,1.773,0.1048,0.679466666666667,0.215733333333333,0,3,FALSE,TRUE
"South Korea at South Africa","South Africa","South Korea",467,451,760466,"s:600~l:606~e:760466~c:760466","2026-06-25 01:00:00","UTC",0.798733333333333,1.67526666666667,0.1782,0.582133333333333,0.239666666666667,1,0,TRUE,FALSE
"Ivory Coast at Curaçao","Curaçao","Ivory Coast",11678,4789,760473,"s:600~l:606~e:760473~c:760473","2026-06-25 20:00:00","UTC",0.622333333333333,1.9196,0.111266666666667,0.685533333333333,0.2032,0,2,FALSE,TRUE
"Germany at Ecuador","Ecuador","Germany",209,481,760468,"s:600~l:606~e:760468~c:760468","2026-06-25 20:00:00","UTC",0.847066666666667,1.49566666666667,0.214666666666667,0.5272,0.258133333333333,2,1,TRUE,FALSE
"Netherlands at Tunisia","Tunisia","Netherlands",659,449,760472,"s:600~l:606~e:760472~c:760472","2026-06-25 23:00:00","UTC",0.585466666666667,2.9304,0.0462,0.843,0.1108,1,3,FALSE,TRUE
"Sweden at Japan","Japan","Sweden",627,466,760471,"s:600~l:606~e:760471~c:760471","2026-06-25 23:00:00","UTC",2.70446666666667,1.30606666666667,0.671066666666667,0.159533333333333,0.1694,1,1,FALSE,FALSE
